OPC-N3 Iss1.1 FirmwareVer=1.17a_02c.......................BS
 OPC-N3 177091518                                           
Config info:
LaserDAC,53
FanDAC,255
ToFtoSFRfactor,62
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
34,5,3,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,38,0,0.680,3.880,24.397,43.641,2.967,14.229,17.686,5,0,37,7,0,583
35,6,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,31,0,0.680,3.840,24.367,43.684,2.953,8.746,9.947,10,0,40,6,0,583
32,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,35,0,0.680,3.840,24.410,43.748,1.681,11.907,19.952,6,0,33,3,0,582
45,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,36,0,0.680,3.930,24.397,43.700,2.308,6.927,8.474,4,0,31,4,0,583
43,5,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,32,0,0.680,4.000,24.397,43.760,2.547,9.030,34.715,8,0,40,4,0,583
22,6,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,35,45,0.680,3.970,24.397,43.890,1.889,12.183,28.981,5,0,29,8,0,583
30,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,49,0,0.680,3.990,24.397,43.975,1.713,5.846,7.286,8,0,42,6,0,583
38,8,5,3,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,37,43,0.680,4.050,24.423,44.048,3.303,19.403,35.852,7,0,48,8,0,583
29,5,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,41,0,0.680,4.130,24.410,44.187,2.043,6.493,7.965,4,0,38,8,0,583
43,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36,0,0,0.680,4.060,24.423,44.227,1.367,2.462,2.580,8,0,39,9,0,583
29,3,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,31,34,0,0.680,4.110,24.439,44.300,1.488,5.731,114.475,5,0,44,7,0,582
23,5,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,36,0,0.680,4.040,24.439,44.323,1.903,8.059,9.381,7,0,41,4,0,582
35,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,37,0,0.680,4.000,24.423,44.346,1.833,6.777,8.389,5,0,36,11,0,583
42,8,3,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,32,0,0.680,3.850,24.455,44.311,2.633,13.157,43.724,13,0,41,7,0,583
43,8,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,34,0,0.680,4.050,24.439,44.228,2.844,11.495,14.024,7,0,46,5,0,582
40,2,4,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0.680,4.040,24.439,44.144,2.593,8.097,11.393,6,0,35,7,0,583
37,5,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,0,0,0.680,4.000,24.439,44.135,1.909,6.289,9.566,6,0,39,8,0,583
42,4,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,0,0,0.680,3.940,24.439,44.158,2.328,7.828,11.276,7,0,47,7,0,583
36,5,7,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,32,0,0.680,4.100,24.469,44.100,2.894,10.695,14.796,5,0,31,4,0,583
33,6,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,36,38,0.680,4.070,24.469,44.114,1.801,8.395,19.457,3,0,37,6,0,583
44,8,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,31,0,0.680,4.000,24.439,44.135,2.318,6.150,7.088,12,0,41,7,0,583
36,3,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,35,0,0.680,3.860,24.482,44.245,2.449,7.612,8.779,4,0,39,11,0,583
32,3,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0.680,3.880,24.469,44.256,2.261,4.778,5.027,3,0,40,7,0,583
28,2,7,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,35,0,0.680,3.910,24.498,44.283,2.750,13.885,19.601,5,0,32,4,0,583
42,1,5,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,0,0.680,3.880,24.469,44.433,2.288,9.045,37.840,4,0,37,10,0,582
38,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,0,0,0.680,4.000,24.482,44.530,2.671,8.711,12.133,8,0,42,7,0,583
49,5,4,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,33,0,0.680,3.980,24.469,44.648,2.847,10.124,36.045,7,0,50,6,0,583
35,1,4,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,37,0,0.680,3.960,24.482,44.791,1.950,11.393,67.113,7,0,40,6,0,583
49,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,0,0,0.680,4.070,24.482,44.945,1.919,4.794,7.806,9,0,54,3,0,583
36,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,38,38,0,0.680,4.030,24.482,45.135,1.565,3.622,113.727,6,0,37,9,0,583
30,7,6,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,39,0,43,0.680,4.050,24.498,45.243,2.854,11.884,24.988,7,0,48,6,0,583
29,5,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0.680,4.070,24.469,45.277,1.783,5.918,9.127,2,0,45,9,0,583
44,8,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,51,37,0,0.680,4.000,24.511,45.293,2.195,8.172,10.389,7,0,50,12,0,583
29,4,4,2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,39,42,0.680,3.900,24.482,45.336,2.918,16.744,30.184,7,0,53,10,0,583
45,7,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,0,0,0.680,4.020,24.498,45.350,2.761,5.738,6.071,4,0,39,9,0,583
37,1,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44,33,21,0.680,4.030,24.498,45.327,1.798,10.307,45.466,3,0,45,5,0,583
48,6,6,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,32,0,0.680,4.020,24.511,45.316,3.327,16.660,46.843,5,0,49,5,0,583
46,5,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,36,0,0.680,4.080,24.525,45.258,2.075,10.724,15.978,10,0,57,8,0,583
28,2,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,34,0,0.680,4.120,24.498,45.290,2.107,9.636,13.715,3,0,44,7,0,583
31,1,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,35,0,0.680,4.060,24.538,45.225,1.940,8.608,12.630,7,0,49,8,0,583
37,3,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,35,0,0.680,4.060,24.511,45.092,2.105,9.606,14.212,7,0,51,6,0,584
40,6,2,4,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,34,59,0.680,4.100,24.511,44.927,2.439,17.310,105.295,3,0,50,9,0,583
